Assembly	contigs
# contigs (>= 0 bp)	92
# contigs (>= 1000 bp)	70
# contigs (>= 5000 bp)	51
# contigs (>= 10000 bp)	46
# contigs (>= 25000 bp)	40
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	4572180
Total length (>= 1000 bp)	4567341
Total length (>= 5000 bp)	4523224
Total length (>= 10000 bp)	4483317
Total length (>= 25000 bp)	4392129
Total length (>= 50000 bp)	3940881
# contigs	72
Largest contig	327064
Total length	4568765
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	173977
NG50	173977
N75	80764
NG75	80764
L50	10
LG50	10
L75	20
LG75	20
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	40143
# local misassemblies	4
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.345
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	6.97
# indels per 100 kbp	0.35
Largest alignment	327064
NA50	173977
NGA50	173977
NA75	80764
NGA75	80764
LA50	10
LGA50	10
LA75	20
LGA75	20
