All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              3      
    # relocations            3      
    # translocations         0      
    # inversions             0      
# misassembled contigs       3      
Misassembled contigs length  454654 
# local misassemblies        5      
# mismatches                 878    
# indels                     51     
    # short indels           49     
    # long indels            2      
Indels length                143    
