All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  3        
    # relocations                3        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  1        
# misassembled contigs           2        
Misassembled contigs length      578950   
# local misassemblies            1        
# mismatches                     17281    
# indels                         46       
    # short indels               45       
    # long indels                1        
Indels length                    67       
