Assembly	scaffolds
# contigs (>= 1000 bp)	223
# contigs (>= 5000 bp)	156
# contigs (>= 10000 bp)	114
# contigs (>= 25000 bp)	57
# contigs (>= 50000 bp)	26
Total length (>= 1000 bp)	4809905
Total length (>= 5000 bp)	4640116
Total length (>= 10000 bp)	4329702
Total length (>= 25000 bp)	3429026
Total length (>= 50000 bp)	2359457
# contigs	249
Largest contig	200996
Total length	4826572
Reference length	4641652
GC (%)	50.73
Reference GC (%)	50.78
N50	46002
NG50	50917
N75	20816
NG75	23959
L50	28
LG50	26
L75	66
LG75	60
# misassemblies	3
# misassembled contigs	2
Misassembled contigs length	127194
# local misassemblies	4
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	86.799
Duplication ratio	1.198
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1098.19
# indels per 100 kbp	0.52
Largest alignment	200996
NA50	41789
NGA50	47800
NA75	20059
NGA75	23565
LA50	28
LGA50	26
LA75	68
LGA75	61
