Assembly	final.contigs
# contigs (>= 0 bp)	153
# contigs (>= 1000 bp)	145
Total length (>= 0 bp)	1240083
Total length (>= 1000 bp)	1234563
# contigs	153
Largest contig	38663
Total length	1240083
Reference length	615980
GC (%)	25.35
Reference GC (%)	25.34
N50	12232
NG50	18849
N75	8270
NG75	15409
L50	34
LG50	13
L75	65
LG75	23
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	765
# local misassemblies	0
# unaligned contigs	67 + 5 part
Unaligned length	610586
Genome fraction (%)	99.732
Duplication ratio	1.025
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.60
# indels per 100 kbp	0.00
Largest alignment	30414
NA50	1314
NGA50	12571
NGA75	8839
LA50	73
LGA50	16
LGA75	31
