Assembly	final.contigs
# contigs (>= 0 bp)	801
# contigs (>= 1000 bp)	647
# contigs (>= 5000 bp)	464
# contigs (>= 10000 bp)	320
# contigs (>= 25000 bp)	110
# contigs (>= 50000 bp)	15
Total length (>= 0 bp)	9281077
Total length (>= 1000 bp)	9217309
Total length (>= 5000 bp)	8680679
Total length (>= 10000 bp)	7648265
Total length (>= 25000 bp)	4157605
Total length (>= 50000 bp)	966351
# contigs	684
Largest contig	95788
Total length	9245899
Reference length	9283304
N50	23232
N75	13502
L50	130
L75	259
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	15109
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.148
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1.09
# indels per 100 kbp	0.00
Largest alignment	95788
NA50	23232
NA75	13501
LA50	130
LA75	259
