All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              16     
    # relocations            16     
    # translocations         0      
    # inversions             0      
# misassembled contigs       16     
Misassembled contigs length  16579  
# local misassemblies        2      
# mismatches                 3962   
# indels                     13     
    # short indels           13     
    # long indels            0      
Indels length                17     
