Assembly	anonymous_gsa
# contigs (>= 0 bp)	7661
# contigs (>= 1000 bp)	1140
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	4098157
Total length (>= 1000 bp)	1778586
Total length (>= 5000 bp)	5766
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2783
Largest contig	5766
Total length	2973287
Reference length	4641652
GC (%)	50.83
Reference GC (%)	50.79
N50	1173
NG50	770
N75	803
L50	871
LG50	1761
L75	1646
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	63.925
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	5766
NA50	1173
NGA50	770
NA75	803
LA50	871
LGA50	1761
LA75	1646
