All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  3        
    # relocations                3        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  3        
# misassembled contigs           1        
Misassembled contigs length      308025   
# local misassemblies            2        
# mismatches                     21514    
# indels                         41       
    # short indels               36       
    # long indels                5        
Indels length                    117      
