All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              1      
    # relocations            1      
    # translocations         0      
    # inversions             0      
# misassembled contigs       1      
Misassembled contigs length  40209  
# local misassemblies        5      
# mismatches                 353    
# indels                     22     
    # short indels           22     
    # long indels            0      
Indels length                29     
