Assembly	scaffolds
# contigs (>= 1000 bp)	21
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	32323
Total length (>= 5000 bp)	5456
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	351
Largest contig	5456
Total length	243528
Reference length	4641652
GC (%)	50.71
Reference GC (%)	50.79
N50	661
N75	558
L50	136
L75	236
# misassemblies	5
# misassembled contigs	5
Misassembled contigs length	5973
# local misassemblies	0
# unaligned contigs	0 + 5 part
Unaligned length	159
Genome fraction (%)	5.215
Duplication ratio	1.005
# N's per 100 kbp	802.78
# mismatches per 100 kbp	53.70
# indels per 100 kbp	47.09
Largest alignment	5416
NA50	659
NGA50	-
NA75	552
LA50	138
LA75	239
