All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           scaffolds
# misassemblies                    2        
    # relocations                  1        
    # translocations               0        
    # inversions                   0        
    # interspecies translocations  1        
# possibly misassembled contigs    0        
# misassembled contigs             2        
Misassembled contigs length        127194   
# local misassemblies              4        
# mismatches                       90244    
# indels                           55       
    # short indels                 55       
    # long indels                  0        
Indels length                      61       
