Assembly	scaffolds
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	14280
Total length (>= 5000 bp)	14280
Total length (>= 10000 bp)	14280
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	14280
Total length	14280
Reference length	4641652
GC (%)	49.33
Reference GC (%)	50.78
N50	14280
N75	14280
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 1 part
Unaligned length	11550
Genome fraction (%)	0.059
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4688.64
# indels per 100 kbp	0.00
Largest alignment	2730
NGA50	-
