Assembly	final.contigs
# contigs (>= 0 bp)	826
# contigs (>= 1000 bp)	266
Total length (>= 0 bp)	826744
Total length (>= 1000 bp)	436254
# contigs	826
Largest contig	5316
Total length	826744
Reference length	641799
GC (%)	26.39
Reference GC (%)	26.30
N50	1045
NG50	1266
N75	733
NG75	926
L50	244
LG50	163
L75	484
LG75	313
# misassemblies	8
# misassembled contigs	8
Misassembled contigs length	7612
# local misassemblies	0
# unaligned contigs	0 + 1 part
Unaligned length	452
Genome fraction (%)	91.561
Duplication ratio	1.406
# N's per 100 kbp	0.00
# mismatches per 100 kbp	940.20
# indels per 100 kbp	0.68
Largest alignment	5316
NA50	1039
NGA50	1266
NA75	728
NGA75	920
LA50	244
LGA50	163
LA75	485
LGA75	314
