Assembly	scaffolds
# contigs (>= 1000 bp)	70
# contigs (>= 5000 bp)	61
# contigs (>= 10000 bp)	50
# contigs (>= 25000 bp)	33
# contigs (>= 50000 bp)	26
Total length (>= 1000 bp)	2947870
Total length (>= 5000 bp)	2917073
Total length (>= 10000 bp)	2836518
Total length (>= 25000 bp)	2571976
Total length (>= 50000 bp)	2331243
# contigs	74
Largest contig	161420
Total length	2950538
Reference length	4641652
GC (%)	50.72
Reference GC (%)	50.78
N50	88331
NG50	53647
N75	56618
L50	13
LG50	26
L75	24
# misassemblies	5
# misassembled contigs	5
Misassembled contigs length	310368
# local misassemblies	2
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	63.477
Duplication ratio	1.001
# N's per 100 kbp	20.81
# mismatches per 100 kbp	542.50
# indels per 100 kbp	0.31
Largest alignment	142244
NA50	88331
NGA50	34830
NA75	43878
LA50	13
LGA50	28
LA75	25
