Assembly	scaffolds
# contigs (>= 1000 bp)	148
# contigs (>= 5000 bp)	103
# contigs (>= 10000 bp)	79
# contigs (>= 25000 bp)	49
# contigs (>= 50000 bp)	31
Total length (>= 1000 bp)	4515964
Total length (>= 5000 bp)	4397324
Total length (>= 10000 bp)	4229556
Total length (>= 25000 bp)	3721851
Total length (>= 50000 bp)	3123917
# contigs	173
Largest contig	347033
Total length	4531272
Reference length	4641652
GC (%)	50.64
Reference GC (%)	50.78
N50	68964
NG50	68318
N75	33490
NG75	31601
L50	17
LG50	18
L75	38
LG75	41
# misassemblies	5
# misassembled contigs	2
Misassembled contigs length	156398
# local misassemblies	3
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	87.679
Duplication ratio	1.113
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1071.88
# indels per 100 kbp	0.84
Largest alignment	347033
NA50	68318
NGA50	67124
NA75	32072
NGA75	30166
LA50	17
LGA50	18
LA75	40
LGA75	42
