Assembly	contigs
# contigs (>= 1000 bp)	120
# contigs (>= 5000 bp)	90
# contigs (>= 10000 bp)	68
# contigs (>= 25000 bp)	42
# contigs (>= 50000 bp)	27
Total length (>= 1000 bp)	3469214
Total length (>= 5000 bp)	3390104
Total length (>= 10000 bp)	3229484
Total length (>= 25000 bp)	2833440
Total length (>= 50000 bp)	2336199
# contigs	126
Largest contig	264572
Total length	3473785
Reference length	4641652
GC (%)	50.84
Reference GC (%)	50.79
N50	66357
NG50	51851
N75	32212
L50	17
LG50	27
L75	35
# misassemblies	4
# misassembled contigs	4
Misassembled contigs length	307071
# local misassemblies	1
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	74.710
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	559.20
# indels per 100 kbp	0.49
Largest alignment	264572
NA50	64886
NGA50	43808
NA75	32212
LA50	18
LGA50	29
LA75	36
