All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  1        
    # relocations                1        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  0        
# misassembled contigs           1        
Misassembled contigs length      45684    
# local misassemblies            1        
# mismatches                     2867     
# indels                         405      
    # short indels               404      
    # long indels                1        
Indels length                    595      
