All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              10     
    # relocations            10     
    # translocations         0      
    # inversions             0      
# misassembled contigs       10     
Misassembled contigs length  317749 
# local misassemblies        9      
# mismatches                 5731   
# indels                     61     
    # short indels           61     
    # long indels            0      
Indels length                78     
