Assembly	scaffolds
# contigs (>= 1000 bp)	90
# contigs (>= 5000 bp)	57
# contigs (>= 10000 bp)	51
# contigs (>= 25000 bp)	47
# contigs (>= 50000 bp)	34
Total length (>= 1000 bp)	4584320
Total length (>= 5000 bp)	4517868
Total length (>= 10000 bp)	4475498
Total length (>= 25000 bp)	4400200
Total length (>= 50000 bp)	3988767
# contigs	123
Largest contig	330092
Total length	4606871
Reference length	4641652
GC (%)	50.82
Reference GC (%)	50.79
N50	105688
NG50	105688
N75	78911
NG75	78911
L50	13
LG50	13
L75	26
LG75	26
# misassemblies	3
# misassembled contigs	2
Misassembled contigs length	196859
# local misassemblies	5
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.361
Duplication ratio	1.030
# N's per 100 kbp	0.00
# mismatches per 100 kbp	931.87
# indels per 100 kbp	0.98
Largest alignment	330092
NA50	102895
NGA50	102895
NA75	65960
NGA75	65960
LA50	13
LGA50	13
LA75	27
LGA75	27
