Assembly	final.contigs
# contigs (>= 0 bp)	10401
# contigs (>= 1000 bp)	3681
# contigs (>= 5000 bp)	9
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	10055662
Total length (>= 1000 bp)	6187570
Total length (>= 5000 bp)	48199
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7660
Largest contig	5692
Total length	9058013
Reference length	9714864
N50	1329
N75	887
L50	2235
L75	4326
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.397
Duplication ratio	1.043
# N's per 100 kbp	0.00
# mismatches per 100 kbp	22.30
# indels per 100 kbp	0.03
Largest alignment	5692
NA50	1329
NA75	886
LA50	2235
LA75	4326
