Assembly	contigs
# contigs (>= 0 bp)	106
# contigs (>= 1000 bp)	70
# contigs (>= 5000 bp)	51
# contigs (>= 10000 bp)	48
# contigs (>= 25000 bp)	41
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	4566719
Total length (>= 1000 bp)	4557145
Total length (>= 5000 bp)	4515022
Total length (>= 10000 bp)	4491071
Total length (>= 25000 bp)	4385406
Total length (>= 50000 bp)	3902504
# contigs	75
Largest contig	327064
Total length	4560560
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	174013
NG50	174013
N75	87014
NG75	78605
L50	10
LG50	10
L75	20
LG75	21
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	3
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.198
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	4.41
# indels per 100 kbp	0.42
Largest alignment	327064
NA50	172843
NGA50	172843
NA75	87014
NGA75	78605
LA50	10
LGA50	10
LA75	20
LGA75	21
