Assembly	scaffolds
# contigs (>= 1000 bp)	60
# contigs (>= 5000 bp)	42
# contigs (>= 10000 bp)	41
# contigs (>= 25000 bp)	35
# contigs (>= 50000 bp)	30
Total length (>= 1000 bp)	4604968
Total length (>= 5000 bp)	4574350
Total length (>= 10000 bp)	4567854
Total length (>= 25000 bp)	4459002
Total length (>= 50000 bp)	4284789
# contigs	74
Largest contig	527156
Total length	4613976
Reference length	4641652
GC (%)	50.72
Reference GC (%)	50.78
N50	197358
NG50	197358
N75	101046
NG75	86132
L50	8
LG50	8
L75	18
LG75	19
# misassemblies	6
# misassembled contigs	1
Misassembled contigs length	82061
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.087
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	679.64
# indels per 100 kbp	0.94
Largest alignment	527156
NA50	197358
NGA50	197358
NA75	101046
NGA75	86132
LA50	8
LGA50	8
LA75	18
LGA75	19
