Assembly	scaffolds
# contigs (>= 1000 bp)	311
# contigs (>= 5000 bp)	112
# contigs (>= 10000 bp)	43
# contigs (>= 25000 bp)	7
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	1756559
Total length (>= 5000 bp)	1309929
Total length (>= 10000 bp)	807107
Total length (>= 25000 bp)	242832
Total length (>= 50000 bp)	0
# contigs	465
Largest contig	46453
Total length	1862573
Reference length	4641652
GC (%)	50.60
Reference GC (%)	50.79
N50	8742
N75	3980
L50	57
L75	132
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	3
# unaligned contigs	0 + 1 part
Unaligned length	55
Genome fraction (%)	39.403
Duplication ratio	1.018
# N's per 100 kbp	389.57
# mismatches per 100 kbp	1012.99
# indels per 100 kbp	2.24
Largest alignment	43816
NA50	8425
NGA50	-
NA75	3970
LA50	58
LA75	134
