Assembly	scaffolds
# contigs (>= 1000 bp)	232
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	313361
Total length (>= 5000 bp)	5609
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1261
Largest contig	5609
Total length	1007735
Reference length	4641652
GC (%)	50.79
Reference GC (%)	50.79
N50	802
N75	614
L50	447
L75	806
# misassemblies	8
# misassembled contigs	8
Misassembled contigs length	12509
# local misassemblies	3
# unaligned contigs	0 + 15 part
Unaligned length	5768
Genome fraction (%)	21.527
Duplication ratio	1.003
# N's per 100 kbp	753.37
# mismatches per 100 kbp	368.10
# indels per 100 kbp	46.64
Largest alignment	5592
NA50	792
NGA50	-
NA75	607
LA50	454
LA75	819
