All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              3      
    # relocations            3      
    # translocations         0      
    # inversions             0      
# misassembled contigs       3      
Misassembled contigs length  8595   
# local misassemblies        0      
# mismatches                 282    
# indels                     5      
    # short indels           5      
    # long indels            0      
Indels length                5      
