Assembly	contigs
# contigs (>= 1000 bp)	21
# contigs (>= 5000 bp)	19
# contigs (>= 10000 bp)	19
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	16
Total length (>= 1000 bp)	4770955
Total length (>= 5000 bp)	4764662
Total length (>= 10000 bp)	4764662
Total length (>= 25000 bp)	4738761
Total length (>= 50000 bp)	4710910
# contigs	22
Largest contig	663492
Total length	4771781
Reference length	4641652
GC (%)	50.71
Reference GC (%)	50.79
N50	422118
NG50	422118
N75	227737
NG75	321943
L50	5
LG50	5
L75	9
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 1 part
Unaligned length	162886
Genome fraction (%)	99.219
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	207.10
# indels per 100 kbp	0.59
Largest alignment	663492
NA50	362589
NGA50	378035
NA75	227737
NGA75	227737
LA50	6
LGA50	5
LA75	9
LGA75	9
