Assembly	anonymous_gsa
# contigs (>= 0 bp)	5894
# contigs (>= 1000 bp)	1048
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	3819230
Total length (>= 1000 bp)	1576510
Total length (>= 5000 bp)	5006
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2927
Largest contig	5006
Total length	2912188
Reference length	4641652
GC (%)	50.74
Reference GC (%)	50.79
N50	1066
NG50	702
N75	755
L50	932
LG50	1933
L75	1745
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	62.650
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	5006
NA50	1066
NGA50	702
NA75	755
LA50	932
LGA50	1933
LA75	1745
