Assembly	contigs
# contigs (>= 0 bp)	4854
# contigs (>= 1000 bp)	1006
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	3510794
Total length (>= 1000 bp)	1514829
Total length (>= 5000 bp)	18221
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2772
Largest contig	6520
Total length	2765684
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	1067
NG50	659
N75	760
L50	879
LG50	1998
L75	1651
# misassemblies	26
# misassembled contigs	26
Misassembled contigs length	54456
# local misassemblies	3
# unaligned contigs	1 + 14 part
Unaligned length	3708
Genome fraction (%)	59.377
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	771.72
# indels per 100 kbp	1.16
Largest alignment	6021
NA50	1061
NGA50	655
NA75	753
LA50	887
LGA50	2017
LA75	1666
