Assembly	scaffolds
# contigs (>= 0 bp)	226
# contigs (>= 1000 bp)	191
# contigs (>= 5000 bp)	139
# contigs (>= 10000 bp)	117
# contigs (>= 25000 bp)	71
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	4532279
Total length (>= 1000 bp)	4517569
Total length (>= 5000 bp)	4374580
Total length (>= 10000 bp)	4219421
Total length (>= 25000 bp)	3512915
Total length (>= 50000 bp)	2084849
# contigs	204
Largest contig	138275
Total length	4527463
Reference length	4641652
N50	44576
N75	26493
L50	31
L75	67
# misassemblies	15
# misassembled contigs	14
Misassembled contigs length	568607
# local misassemblies	10
# unaligned contigs	0 + 2 part
Unaligned length	3972
Genome fraction (%)	97.366
Duplication ratio	1.001
# N's per 100 kbp	147.79
# mismatches per 100 kbp	105.35
# indels per 100 kbp	18.30
Largest alignment	138275
NA50	39635
NA75	23916
LA50	33
LA75	70
