Assembly	scaffolds
# contigs (>= 1000 bp)	77
# contigs (>= 5000 bp)	63
# contigs (>= 10000 bp)	50
# contigs (>= 25000 bp)	32
# contigs (>= 50000 bp)	15
Total length (>= 1000 bp)	2250698
Total length (>= 5000 bp)	2211315
Total length (>= 10000 bp)	2120359
Total length (>= 25000 bp)	1849970
Total length (>= 50000 bp)	1206404
# contigs	83
Largest contig	148188
Total length	2255004
Reference length	4641652
GC (%)	50.72
Reference GC (%)	50.78
N50	54079
N75	34034
L50	14
L75	27
# misassemblies	5
# misassembled contigs	5
Misassembled contigs length	475557
# local misassemblies	4
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	47.138
Duplication ratio	1.031
# N's per 100 kbp	163.59
# mismatches per 100 kbp	714.85
# indels per 100 kbp	1.19
Largest alignment	122264
NA50	48914
NGA50	-
NA75	32963
LA50	17
LA75	31
