Assembly	contigs
# contigs (>= 0 bp)	108
# contigs (>= 1000 bp)	76
# contigs (>= 5000 bp)	56
# contigs (>= 10000 bp)	52
# contigs (>= 25000 bp)	45
# contigs (>= 50000 bp)	28
Total length (>= 0 bp)	4566691
Total length (>= 1000 bp)	4556280
Total length (>= 5000 bp)	4505862
Total length (>= 10000 bp)	4476470
Total length (>= 25000 bp)	4374405
Total length (>= 50000 bp)	3809079
# contigs	83
Largest contig	327064
Total length	4561809
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	133024
NG50	133024
N75	65511
NG75	60768
L50	11
LG50	11
L75	22
LG75	23
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	5
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.216
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3.44
# indels per 100 kbp	0.31
Largest alignment	327064
NA50	133024
NGA50	133024
NA75	65511
NGA75	60768
LA50	11
LGA50	11
LA75	22
LGA75	23
