Assembly	contigs
# contigs (>= 1000 bp)	59
# contigs (>= 5000 bp)	48
# contigs (>= 10000 bp)	45
# contigs (>= 25000 bp)	40
# contigs (>= 50000 bp)	27
Total length (>= 1000 bp)	4528549
Total length (>= 5000 bp)	4507008
Total length (>= 10000 bp)	4484375
Total length (>= 25000 bp)	4409542
Total length (>= 50000 bp)	3967380
# contigs	70
Largest contig	333124
Total length	4536548
Reference length	4641652
GC (%)	50.76
Reference GC (%)	50.79
N50	164567
NG50	164567
N75	88487
NG75	81925
L50	11
LG50	11
L75	20
LG75	21
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	36059
# local misassemblies	2
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.718
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	186.19
# indels per 100 kbp	0.51
Largest alignment	333124
NA50	164567
NGA50	164567
NA75	88487
NGA75	81925
LA50	11
LGA50	11
LA75	20
LGA75	21
