Assembly	scaffolds
# contigs (>= 1000 bp)	29
# contigs (>= 5000 bp)	27
# contigs (>= 10000 bp)	26
# contigs (>= 25000 bp)	25
# contigs (>= 50000 bp)	21
Total length (>= 1000 bp)	5628273
Total length (>= 5000 bp)	5622557
Total length (>= 10000 bp)	5613119
Total length (>= 25000 bp)	5596905
Total length (>= 50000 bp)	5462161
# contigs	32
Largest contig	657825
Total length	5630772
Reference length	4641652
GC (%)	50.76
Reference GC (%)	50.79
N50	439363
NG50	451329
N75	198255
NG75	321933
L50	6
LG50	5
L75	11
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 11 part
Unaligned length	1008530
Genome fraction (%)	99.490
Duplication ratio	1.001
# N's per 100 kbp	1.37
# mismatches per 100 kbp	235.32
# indels per 100 kbp	1.02
Largest alignment	657825
NA50	439363
NGA50	451329
NA75	124745
NGA75	321933
LA50	6
LGA50	5
LA75	11
LGA75	8
