All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         contigs
# misassemblies                  7      
    # relocations                7      
    # translocations             0      
    # inversions                 0      
# possibly misassembled contigs  0      
# misassembled contigs           2      
Misassembled contigs length      198850 
# local misassemblies            5      
# mismatches                     41044  
# indels                         45     
    # short indels               44     
    # long indels                1      
Indels length                    54     
