All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  7            
    # relocations                6            
    # translocations             0            
    # inversions                 1            
# possibly misassembled contigs  1            
# misassembled contigs           7            
Misassembled contigs length      10957        
# local misassemblies            5            
# mismatches                     299          
# indels                         16           
    # short indels               15           
    # long indels                1            
Indels length                    67           
