Assembly	scaffolds
# contigs (>= 0 bp)	562
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	172531
Total length (>= 1000 bp)	14460
Total length (>= 5000 bp)	5687
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	28
Largest contig	5687
Total length	26689
Reference length	4641652
N50	1268
N75	584
L50	6
L75	16
# misassemblies	3
# misassembled contigs	3
Misassembled contigs length	8583
# local misassemblies	0
# unaligned contigs	2 + 2 part
Unaligned length	1137
Genome fraction (%)	0.544
Duplication ratio	1.013
# N's per 100 kbp	1547.45
# mismatches per 100 kbp	435.99
# indels per 100 kbp	67.38
Largest alignment	5494
NA50	1039
NA75	544
LA50	7
LA75	17
