Assembly	final.contigs
# contigs (>= 1000 bp)	1052
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	1576093
Total length (>= 5000 bp)	5174
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3590
Largest contig	5174
Total length	3341770
Reference length	4857432
GC (%)	52.21
Reference GC (%)	52.22
N50	964
NG50	719
N75	697
L50	1149
LG50	2066
L75	2176
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	65.483
Duplication ratio	1.051
# N's per 100 kbp	0.00
# mismatches per 100 kbp	187.15
# indels per 100 kbp	0.06
Largest alignment	5174
NA50	964
NGA50	719
NA75	697
LA50	1149
LGA50	2066
LA75	2176
