strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	1359.0	1420.0	1399.0	1352.0
Shigella_flexneri_2a_str._2457T	3530.0	3418.0	3659.0	3763.0
Porphyromonas_gingivalis	1913.0	1936.0	1988.0	1864.0
Corynebacterium_diphtheriae	2039.0	2000.0	1989.0	2075.0
Mycobacterium_leprae	2609.0	2626.0	2706.0	2696.0
Oceanobacillus_iheyensis	2957.0	3069.0	3074.0	2960.0
not	1.0	1.0	1.0	1.0
Enterococcus_faecalis	2687.0	2606.0	2606.0	2692.0
Tropheryma_whipplei_str._Twist	702.0	723.0	748.0	723.0
Escherichia_coli_O157_H7	4354.0	4228.0	4447.0	4575.0
Thermoplasma_acidophilum	1284.0	1255.0	1262.0	1301.0
Fibrobacter_succinogenes_subsp._succinogenes_S85	6127.0	NA	6309.0	NA
Sulfolobus_tokodaii	2319.0	2235.0	2240.0	2320.0
Chromobacterium_violaceum	4005.0	3922.0	4078.0	3847.0
Neisseria_meningitidis_serogroup_A	1795.0	1859.0	1743.0	1816.0
Neisseria_meningitidis_serogroup_B	1741.0	1795.0	1827.0	1882.0
Mycoplasma_pneumoniae	689.0	676.0	666.0	658.0
Bifidobacterium_longum	1836.0	1806.0	1858.0	1902.0
Synechocystis_sp._PCC_6803	2981.0	2897.0	2955.0	3045.0
Pyrococcus_horikoshii	1451.0	1414.0	1471.0	1413.0
Bordetella_parapertussis	3970.0	4016.0	4115.0	4168.0
Photorhabdus_luminescens_subsp._laumondii	9428.0	NA	9157.0	NA
Thermotoga_maritima	1490.0	1542.0	1540.0	1500.0
Streptococcus_agalactiae_serogroup_V	1743.0	1720.0	1770.0	1809.0
Lactobacillus_plantarum	2600.0	2724.0	2685.0	2653.0
Listeria_monocytogenes	2557.0	2605.0	2529.0	2482.0
Methanosarcina_mazei	3454.0	3552.0	3441.0	3338.0
Chlorobaculum_tepidum	1702.0	1798.0	1762.0	1742.0
Chlamydophila_caviae	996.0	990.0	957.0	974.0
Solibacter_usitatus_Ellin6076	8383.0	8498.0	8095.0	8238.0
Caenorhabditis_briggsae	12681.0	12279.0	11731.0	12162.0
