strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	1269.0	1261.0	1290.0	1288.0
Corynebacterium_diphtheriae	1755.0	1703.0	1727.0	1782.0
Porphyromonas_gingivalis	1709.0	1730.0	1670.0	1648.0
Shigella_flexneri_2a_str._2457T	3160.0	3098.0	3290.0	3338.0
Photorhabdus_luminescens_subsp._laumondii	NA	8121.0	NA	8257.0
Oceanobacillus_iheyensis	2664.0	2664.0	2610.0	2620.0
not	NA	1.0	NA	1.0
Enterococcus_faecalis	2430.0	2395.0	2365.0	2401.0
Tropheryma_whipplei_str._Twist	645.0	654.0	633.0	642.0
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	2655.0	NA	2601.0	NA
Thermoplasma_acidophilum	1127.0	1131.0	1118.0	1137.0
Fibrobacter_succinogenes_subsp._succinogenes_S85	NA	5326.0	NA	5424.0
Sulfolobus_tokodaii	2080.0	2089.0	2124.0	2042.0
Chromobacterium_violaceum	3530.0	3608.0	3474.0	3533.0
Neisseria_meningitidis_serogroup_A	1568.0	1568.0	1549.0	1590.0
Neisseria_meningitidis_serogroup_B	1583.0	1628.0	1656.0	1610.0
Mycoplasma_pneumoniae	586.0	582.0	596.0	596.0
Bifidobacterium_longum	1646.0	1615.0	1649.0	1677.0
Synechocystis_sp._PCC_6803	2574.0	2575.0	2609.0	2543.0
Pyrococcus_horikoshii	1277.0	1242.0	1263.0	1268.0
Bordetella_parapertussis	3672.0	3663.0	3740.0	3601.0
Mycobacterium_leprae	2430.0	2361.0	2406.0	2390.0
Thermotoga_maritima	1280.0	1290.0	1316.0	1301.0
Streptococcus_agalactiae_serogroup_V	1585.0	1548.0	1598.0	1631.0
Lactobacillus_plantarum	2317.0	2354.0	2334.0	2383.0
Listeria_monocytogenes	2247.0	2222.0	2263.0	2214.0
Methanosarcina_mazei	2967.0	3018.0	2998.0	2956.0
Chlorobaculum_tepidum	1568.0	1521.0	1538.0	1541.0
Chlamydophila_caviae	856.0	843.0	867.0	860.0
Solibacter_usitatus_Ellin6076	7393.0	7321.0	7273.0	7427.0
Caenorhabditis_briggsae	10835.0	11014.0	11087.0	11271.0
Prochlorococcus_marinus_str._MIT_9313	1667.0	1697.0	1713.0	1691.0
Mycoplasma_mobile_163K	647.0	632.0	629.0	621.0
Tropheryma_whipplei_TW0827	677.0	686.0	673.0	688.0
Chlamydia_trachomatis	775.0	763.0	773.0	758.0
Methanopyrus_kandleri	1236.0	1245.0	1223.0	1219.0
Pseudomonas_syringae_pv._tomato	4589.0	4658.0	4524.0	4460.0
Shigella_flexneri	3111.0	3327.0	3062.0	3369.0
Bacillus_anthracis_str._Ames	3774.0	3813.0	3736.0	3851.0
Gloeobacter_violaceus	3396.0	3396.0	3336.0	3347.0
Methanothermobacter_thermautotrophicus_str._Delta_H	2506.0	NA	2543.0	NA
Rickettsia_conorii	936.0	951.0	946.0	929.0
Leishmania_major	1509.0	1531.0	1454.0	1478.0
Thermoplasma_volcanium	1174.0	1151.0	1170.0	1155.0
