strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	107.0	107.0	81.0	81.0
Shigella_flexneri_2a_str._2457T	441.0	441.0	172.0	172.0
Porphyromonas_gingivalis	84.0	84.0	203.0	203.0
Corynebacterium_diphtheriae	128.0	128.0	81.0	81.0
Photorhabdus_luminescens_subsp._laumondii	846.0	NA	846.0	NA
Oceanobacillus_iheyensis	130.0	130.0	180.0	180.0
not	NA	1.0	NA	1.0
Enterococcus_faecalis	129.0	188.0	129.0	188.0
Tropheryma_whipplei_str._Twist	107.0	107.0	36.0	36.0
Escherichia_coli_O157_H7	185.0	432.0	432.0	185.0
Thermoplasma_acidophilum	54.0	60.0	60.0	54.0
Fibrobacter_succinogenes_subsp._succinogenes_S85	335.0	NA	335.0	NA
Sulfolobus_tokodaii	232.0	119.0	232.0	119.0
Chromobacterium_violaceum	261.0	261.0	200.0	200.0
Neisseria_meningitidis_serogroup_A	78.0	323.0	323.0	78.0
Neisseria_meningitidis_serogroup_B	85.0	85.0	341.0	341.0
Mycoplasma_pneumoniae	36.0	96.0	96.0	36.0
Bifidobacterium_longum	92.0	128.0	92.0	128.0
Synechocystis_sp._PCC_6803	129.0	196.0	196.0	129.0
Pyrococcus_horikoshii	50.0	50.0	72.0	72.0
Bordetella_parapertussis	288.0	288.0	209.0	209.0
Mycobacterium_leprae	136.0	244.0	136.0	244.0
Thermotoga_maritima	74.0	115.0	115.0	74.0
Streptococcus_agalactiae_serogroup_V	67.0	99.0	99.0	67.0
Lactobacillus_plantarum	171.0	171.0	116.0	116.0
Listeria_monocytogenes	121.0	121.0	144.0	144.0
Helicobacter_pylori	86.0	86.0	139.0	139.0
Methanosarcina_mazei	374.0	152.0	152.0	374.0
Chlorobaculum_tepidum	71.0	71.0	108.0	108.0
Chlamydophila_caviae	63.0	63.0	60.0	60.0
Solibacter_usitatus_Ellin6076	377.0	575.0	575.0	377.0
Caenorhabditis_briggsae	1529.0	1529.0	2643.0	2643.0
Prochlorococcus_marinus_str._MIT_9313	129.0	86.0	86.0	129.0
Mycoplasma_mobile_163K	47.0	69.0	47.0	69.0
Tropheryma_whipplei_TW0827	102.0	38.0	38.0	102.0
