strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	288.0	265.0	265.0	288.0
Shigella_flexneri_2a_str._2457T	808.0	593.0	593.0	808.0
Porphyromonas_gingivalis	293.0	293.0	379.0	379.0
Corynebacterium_diphtheriae	335.0	335.0	301.0	301.0
Mycobacterium_leprae	446.0	537.0	537.0	446.0
Chlorobaculum_tepidum	259.0	259.0	288.0	288.0
Enterococcus_faecalis	448.0	496.0	448.0	496.0
Tropheryma_whipplei_str._Twist	173.0	122.0	122.0	173.0
Escherichia_coli_O157_H7	863.0	863.0	656.0	656.0
Thermoplasma_acidophilum	197.0	197.0	203.0	203.0
Fibrobacter_succinogenes_subsp._succinogenes_S85	NA	904.0	NA	904.0
Sulfolobus_tokodaii	535.0	535.0	428.0	428.0
Chromobacterium_violaceum	707.0	754.0	754.0	706.0
Neisseria_meningitidis_serogroup_A	283.0	498.0	283.0	497.0
Neisseria_meningitidis_serogroup_B	286.0	285.0	512.0	512.0
Mycoplasma_pneumoniae	89.0	149.0	89.0	149.0
Bifidobacterium_longum	304.0	335.0	335.0	304.0
Synechocystis_sp._PCC_6803	477.0	477.0	432.0	432.0
Pyrococcus_horikoshii	225.0	225.0	207.0	207.0
Bordetella_parapertussis	830.0	764.0	833.0	764.0
Photorhabdus_luminescens_subsp._laumondii	NA	1750.0	NA	1752.0
Thermotoga_maritima	247.0	283.0	247.0	283.0
Streptococcus_agalactiae_serogroup_V	299.0	299.0	325.0	324.0
Lactobacillus_plantarum	426.0	426.0	378.0	377.0
Listeria_monocytogenes	422.0	422.0	415.0	415.0
Methanosarcina_mazei	718.0	560.0	560.0	718.0
Oceanobacillus_iheyensis	532.0	491.0	491.0	532.0
Chlamydophila_caviae	162.0	162.0	161.0	161.0
Solibacter_usitatus_Ellin6076	1373.0	1509.0	1511.0	1373.0
Caenorhabditis_briggsae	2873.0	3835.0	3833.0	2870.0
Prochlorococcus_marinus_str._MIT_9313	325.0	286.0	286.0	325.0
Mycoplasma_mobile_163K	161.0	173.0	173.0	161.0
Tropheryma_whipplei_TW0827	188.0	137.0	137.0	188.0
Chlamydia_trachomatis	140.0	138.0	140.0	138.0
Methanopyrus_kandleri	256.0	255.0	267.0	267.0
Pseudomonas_syringae_pv._tomato	926.0	800.0	926.0	800.0
Shigella_flexneri	597.0	819.0	596.0	819.0
Rhodopseudomonas_palustris	775.0	792.0	774.0	791.0
Gloeobacter_violaceus	677.0	584.0	584.0	677.0
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	446.0	NA	445.0
Rickettsia_conorii	175.0	173.0	175.0	173.0
Leishmania_major	386.0	282.0	386.0	281.0
Thermoplasma_volcanium	202.0	233.0	233.0	202.0
Pseudomonas_aeruginosa	1235.0	1069.0	1069.0	1234.0
Helicobacter_hepaticus	274.0	239.0	274.0	239.0
Streptococcus_agalactiae_serogroup_III	338.0	338.0	368.0	367.0
Mycoplasma_genitalium	117.0	93.0	92.0	116.0
Haemophilus_influenzae	302.0	318.0	302.0	318.0
Pasteurella_multocida	283.0	298.0	282.0	298.0
Prochlorococcus_marinus	346.0	405.0	346.0	405.0
Corynebacterium_glutamicum	418.0	418.0	461.0	461.0
Archaeoglobus_fulgidus	328.0	328.0	281.0	281.0
Bacillus_subtilis	493.0	493.0	473.0	473.0
Staphylococcus_aureus_subsp._aureus_N315	NA	933.0	NA	933.0
Corynebacterium_efficiens	436.0	471.0	435.0	471.0
Geobacter_sulfurreducens	525.0	523.0	468.0	468.0
Yersinia_pestis_KIM	719.0	719.0	554.0	555.0
Bacillus_cereus_ATCC_10987	932.0	974.0	974.0	932.0
Pseudomonas_putida_KT2440	827.0	894.0	894.0	827.0
Sinorhizobium_meliloti	574.0	508.0	508.0	574.0
Lactobacillus_johnsonii	323.0	323.0	295.0	294.0
Chlamydophila_pneumoniae_CWL029	144.0	149.0	144.0	149.0
Streptomyces_coelicolor	1629.0	1532.0	1629.0	1533.0
Helicobacter_pylori	244.0	295.0	244.0	295.0
Buchnera_aphidicola_Schizaphis_graminum	NA	638.0	NA	638.0
Rickettsia_prowazekii	183.0	187.0	187.0	183.0
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	294.0	NA	294.0	NA
Synechococcus_sp._WH_8102	322.0	355.0	323.0	355.0
Nitrosomonas_europaea	360.0	435.0	360.0	435.0
Mycoplasma_penetrans	239.0	239.0	307.0	307.0
Bacillus_anthracis_str._Ames	735.0	735.0	756.0	757.0
Chlamydophila_pneumoniae_AR39	207.0	207.0	203.0	203.0
Escherichia_coli	730.0	614.0	730.0	614.0
Xylella_fastidiosa_Temecula1	418.0	302.0	302.0	417.0
Treponema_denticola	436.0	389.0	436.0	389.0
Helicobacter_pylori_J99	281.0	242.0	281.0	242.0
Bacillus_cereus_ATCC_14579	837.0	795.0	795.0	837.0
Mycobacterium_avium_subsp._paratuberculosis	1610.0	NA	1610.0	NA
Sulfolobus_solfataricus	586.0	586.0	387.0	387.0
Lactococcus_lactis_subsp._lactis	361.0	361.0	422.0	423.0
Xanthomonas_axonopodis_pv._citri	784.0	783.0	836.0	835.0
Borrelia_burgdorferi	191.0	194.0	191.0	194.0
Staphylococcus_aureus_subsp._aureus_MW2	NA	954.0	NA	954.0
Bordetella_bronchiseptica	822.0	822.0	891.0	891.0
Mycobacterium_tuberculosis_CDC1551	824.0	725.0	726.0	823.0
Dehalococcoides_ethenogenes_195	190.0	204.0	204.0	190.0
Haemophilus_ducreyi	227.0	245.0	227.0	246.0
Mycobacterium_tuberculosis_H37Rv	712.0	628.0	712.0	628.0
Clostridium_tetani	517.0	488.0	490.0	517.0
Pyrococcus_furiosus	303.0	303.0	271.0	271.0
Acidobacterium_capsulatum_ATCC_51196	560.0	506.0	506.0	561.0
Xanthomonas_campestris_pv._campestris	788.0	853.0	853.0	788.0
Streptococcus_pneumoniae_R6	291.0	366.0	291.0	366.0
Wolinella_succinogenes	261.0	261.0	292.0	292.0
Streptococcus_pyogenes_MGAS315	313.0	273.0	313.0	273.0
Methanosarcina_acetivorans	1112.0	1112.0	784.0	784.0
Streptococcus_pyogenes	255.0	255.0	233.0	232.0
Aquifex_aeolicus	210.0	188.0	188.0	210.0
