strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	1546.0	1432.0	1545.0	1414.0
Shigella_flexneri_2a_str._2457T	3870.0	3705.0	4124.0	3931.0
Porphyromonas_gingivalis	2192.0	2070.0	2086.0	1983.0
Corynebacterium_diphtheriae	2216.0	2130.0	2243.0	2108.0
Mycobacterium_leprae	2970.0	2928.0	2823.0	2756.0
Oceanobacillus_iheyensis	3406.0	3334.0	3221.0	3109.0
not	2.0	1.0	1.0	1.0
Enterococcus_faecalis	2789.0	2998.0	2719.0	2901.0
Tropheryma_whipplei_str._Twist	746.0	782.0	818.0	793.0
Escherichia_coli_O157_H7	4725.0	4753.0	4468.0	5017.0
Thermoplasma_acidophilum	1392.0	1318.0	1331.0	1413.0
Fibrobacter_succinogenes_subsp._succinogenes_S85	6595.0	NA	6944.0	NA
Sulfolobus_tokodaii	2321.0	2494.0	2327.0	2464.0
Chromobacterium_violaceum	4270.0	4326.0	4058.0	3979.0
Neisseria_meningitidis_serogroup_A	1957.0	2036.0	1857.0	1931.0
Neisseria_meningitidis_serogroup_B	1806.0	1962.0	2068.0	1924.0
Mycoplasma_pneumoniae	684.0	665.0	732.0	717.0
Bifidobacterium_longum	2070.0	2026.0	1940.0	1925.0
Synechocystis_sp._PCC_6803	3245.0	3065.0	3093.0	3260.0
Pyrococcus_horikoshii	1587.0	1569.0	1499.0	1472.0
Bordetella_parapertussis	4190.0	4407.0	4111.0	4464.0
Photorhabdus_luminescens_subsp._laumondii	10214.0	NA	9653.0	NA
Thermotoga_maritima	1662.0	1660.0	1578.0	1563.0
Streptococcus_agalactiae_serogroup_V	1988.0	1803.0	1932.0	1874.0
Lactobacillus_plantarum	2755.0	2776.0	2943.0	2916.0
Listeria_monocytogenes	2732.0	2729.0	2574.0	2545.0
Methanosarcina_mazei	3678.0	3827.0	3625.0	3471.0
Chlorobaculum_tepidum	1855.0	1956.0	1841.0	1943.0
Chlamydophila_caviae	1066.0	1013.0	1023.0	1091.0
Solibacter_usitatus_Ellin6076	8660.0	8443.0	9030.0	9189.0
Caenorhabditis_briggsae	12224.0	12807.0	13635.0	13054.0
Prochlorococcus_marinus_str._MIT_9313	2073.0	2210.0	2104.0	2173.0
Mycoplasma_mobile_163K	732.0	722.0	676.0	663.0
Tropheryma_whipplei_TW0827	779.0	817.0	850.0	826.0
Chlamydia_trachomatis	921.0	891.0	953.0	972.0
Methanopyrus_kandleri	1454.0	1445.0	1548.0	1540.0
Pseudomonas_syringae_pv._tomato	5877.0	5369.0	5560.0	5684.0
Shigella_flexneri	4168.0	3639.0	3858.0	3959.0
Bacillus_anthracis_str._Ames	4499.0	4485.0	4815.0	4792.0
Gloeobacter_violaceus	4234.0	4014.0	4257.0	3995.0
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	3144.0	NA	2972.0
Rickettsia_conorii	1193.0	1115.0	1103.0	1176.0
Leishmania_major	1677.0	1790.0	1887.0	1793.0
Thermoplasma_volcanium	1366.0	1469.0	1470.0	1387.0
Pseudomonas_aeruginosa	6646.0	6197.0	6941.0	6521.0
Helicobacter_hepaticus	1565.0	1669.0	1676.0	1558.0
Streptococcus_agalactiae_serogroup_III	2066.0	1805.0	1937.0	1914.0
Mycoplasma_genitalium	506.0	510.0	548.0	543.0
Haemophilus_influenzae	1553.0	1635.0	1536.0	1659.0
Pasteurella_multocida	1999.0	1960.0	2101.0	2113.0
Prochlorococcus_marinus	2442.0	2299.0	2443.0	2328.0
Corynebacterium_glutamicum	2835.0	3080.0	2909.0	3000.0
Archaeoglobus_fulgidus	2140.0	2036.0	2032.0	2156.0
Bacillus_subtilis	3664.0	3447.0	3646.0	3477.0
Staphylococcus_aureus_subsp._aureus_N315	4744.0	NA	5093.0	NA
Corynebacterium_efficiens	2876.0	2643.0	2690.0	2814.0
Geobacter_sulfurreducens	3461.0	3252.0	3309.0	3509.0
Yersinia_pestis_KIM	4034.0	3941.0	3817.0	4186.0
Bacillus_cereus_ATCC_10987	4507.0	4772.0	4462.0	4814.0
Pseudomonas_putida_KT2440	5700.0	5369.0	5227.0	5567.0
Sinorhizobium_meliloti	3336.0	3153.0	3155.0	3372.0
Lactobacillus_johnsonii	1679.0	1823.0	1802.0	1720.0
Chlamydophila_pneumoniae_CWL029	1067.0	1150.0	1130.0	1063.0
Streptomyces_coelicolor	7466.0	7975.0	8107.0	7344.0
Helicobacter_pylori	1399.0	1471.0	1489.0	1376.0
Buchnera_aphidicola_Schizaphis_graminum	NA	3351.0	NA	3133.0
Rickettsia_prowazekii	946.0	1041.0	966.0	1046.0
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	1169.0	NA	1297.0	NA
Synechococcus_sp._WH_8102	2107.0	2131.0	2243.0	2244.0
Nitrosomonas_europaea	2426.0	2327.0	2555.0	2472.0
Mycoplasma_penetrans	1141.0	1158.0	1255.0	1258.0
Rhodopseudomonas_palustris	5082.0	4769.0	5074.0	4762.0
Chlamydophila_pneumoniae_AR39	1034.0	1114.0	1033.0	1096.0
Escherichia_coli	4402.0	4639.0	4413.0	4681.0
Xylella_fastidiosa_Temecula1	2223.0	2311.0	2208.0	2095.0
Treponema_denticola	2384.0	2462.0	2593.0	2558.0
Helicobacter_pylori_J99	1393.0	1461.0	1485.0	1551.0
Bacillus_cereus_ATCC_14579	5003.0	5055.0	4734.0	4671.0
Mycobacterium_avium_subsp._paratuberculosis	8244.0	NA	8885.0	NA
Sulfolobus_solfataricus	2374.0	2244.0	2524.0	2383.0
Lactococcus_lactis_subsp._lactis	1958.0	2012.0	2146.0	2079.0
Xanthomonas_axonopodis_pv._citri	4742.0	4444.0	4716.0	4439.0
Borrelia_burgdorferi	834.0	840.0	782.0	754.0
Staphylococcus_aureus_subsp._aureus_MW2	4935.0	NA	5273.0	NA
Bordetella_bronchiseptica	4800.0	4554.0	4485.0	4899.0
Mycobacterium_tuberculosis_CDC1551	4031.0	3770.0	4058.0	3820.0
Dehalococcoides_ethenogenes_195	1238.0	1172.0	1279.0	1347.0
Haemophilus_ducreyi	1512.0	1464.0	1375.0	1427.0
Mycobacterium_tuberculosis_H37Rv	3887.0	3861.0	4142.0	4089.0
Clostridium_tetani	2369.0	2348.0	2544.0	2556.0
Pyrococcus_furiosus	1751.0	1641.0	1633.0	1760.0
Acidobacterium_capsulatum_ATCC_51196	3561.0	3794.0	3547.0	3755.0
Xanthomonas_campestris_pv._campestris	4662.0	4326.0	4367.0	4604.0
Streptococcus_pneumoniae_R6	1850.0	1751.0	1739.0	1848.0
Wolinella_succinogenes	1918.0	1891.0	1815.0	1779.0
Streptococcus_pyogenes_MGAS315	1805.0	1725.0	1605.0	1706.0
Methanosarcina_acetivorans	5015.0	4711.0	5001.0	5282.0
Streptococcus_pyogenes	1522.0	1494.0	1596.0	1629.0
Aquifex_aeolicus	1425.0	1349.0	1441.0	1370.0
Clostridium_acetobutylicum	3537.0	3401.0	3273.0	3645.0
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	NA	6139.0	NA	6518.0
Streptococcus_pneumoniae	1924.0	1968.0	1810.0	1851.0
Onion_yellows_phytoplasma	785.0	624.0	669.0	726.0
Cyanidioschyzon_merolae	1355.0	1484.0	1433.0	1409.0
Clostridium_perfringens	3246.0	3066.0	2977.0	3310.0
Streptococcus_pyogenes_MGAS8232	1575.0	1685.0	1618.0	1699.0
Ralstonia_solanacearum	2968.0	3174.0	3210.0	2991.0
Ureaplasma_parvum	639.0	688.0	619.0	675.0
Mycoplasma_gallisepticum	847.0	886.0	906.0	821.0
Methanocaldococcus_jannaschii	1549.0	1522.0	1445.0	1423.0
Staphylococcus_epidermidis	2232.0	2072.0	2089.0	2251.0
Buchnera_aphidicola_Acyrthosiphon_pisum	1101.0	NA	1207.0	NA
Mycoplasma_mycoides_subsp._mycoides_SC	821.0	994.0	1070.0	901.0
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	NA	8218.0	NA	8673.0
Escherichia_coli_O157_H7_EDL933	4749.0	4810.0	5064.0	4487.0
Bordetella_pertussis	3331.0	3505.0	3750.0	3579.0
