All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              3      
    # relocations            3      
    # translocations         0      
    # inversions             0      
# misassembled contigs       2      
Misassembled contigs length  29222  
# local misassemblies        7      
# mismatches                 948    
# indels                     56     
    # short indels           56     
    # long indels            0      
Indels length                70     
