Assembly	scaffolds
# contigs (>= 1000 bp)	58
# contigs (>= 5000 bp)	40
# contigs (>= 10000 bp)	33
# contigs (>= 25000 bp)	24
# contigs (>= 50000 bp)	14
Total length (>= 1000 bp)	1921718
Total length (>= 5000 bp)	1881948
Total length (>= 10000 bp)	1835177
Total length (>= 25000 bp)	1688556
Total length (>= 50000 bp)	1354204
# contigs	62
Largest contig	264572
Total length	1924924
Reference length	4641652
GC (%)	50.81
Reference GC (%)	50.79
N50	74344
N75	35258
L50	8
L75	17
# misassemblies	4
# misassembled contigs	4
Misassembled contigs length	307071
# local misassemblies	1
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	41.398
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	545.55
# indels per 100 kbp	0.88
Largest alignment	264572
NA50	73015
NGA50	-
NA75	35258
LA50	9
LA75	18
