All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              54     
    # relocations            54     
    # translocations         0      
    # inversions             0      
# misassembled contigs       53     
Misassembled contigs length  82247  
# local misassemblies        6      
# mismatches                 597    
# indels                     45     
    # short indels           45     
    # long indels            0      
Indels length                60     
