Assembly	contigs
# contigs (>= 1000 bp)	198
# contigs (>= 5000 bp)	124
# contigs (>= 10000 bp)	77
# contigs (>= 25000 bp)	36
# contigs (>= 50000 bp)	21
Total length (>= 1000 bp)	3679972
Total length (>= 5000 bp)	3465849
Total length (>= 10000 bp)	3129716
Total length (>= 25000 bp)	2482652
Total length (>= 50000 bp)	1943200
# contigs	231
Largest contig	189810
Total length	3701110
Reference length	4641652
GC (%)	50.73
Reference GC (%)	50.78
N50	54245
NG50	32009
N75	16218
NG75	4773
L50	20
LG50	31
L75	51
LG75	128
# misassemblies	3
# misassembled contigs	2
Misassembled contigs length	129141
# local misassemblies	3
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	76.466
Duplication ratio	1.043
# N's per 100 kbp	0.00
# mismatches per 100 kbp	989.44
# indels per 100 kbp	0.51
Largest alignment	189810
NA50	53403
NGA50	31790
NA75	15950
NGA75	4773
LA50	20
LGA50	32
LA75	53
LGA75	131
