Assembly	scaffolds
# contigs (>= 1000 bp)	872
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	1393156
Total length (>= 5000 bp)	21011
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2155
Largest contig	8898
Total length	2302637
Reference length	4641652
GC (%)	50.78
Reference GC (%)	50.79
N50	1191
N75	801
L50	650
L75	1244
# misassemblies	18
# misassembled contigs	17
Misassembled contigs length	37784
# local misassemblies	3
# unaligned contigs	0 + 22 part
Unaligned length	14496
Genome fraction (%)	49.096
Duplication ratio	1.004
# N's per 100 kbp	838.60
# mismatches per 100 kbp	225.90
# indels per 100 kbp	48.18
Largest alignment	6590
NA50	1155
NGA50	-
NA75	783
LA50	668
LA75	1276
