All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  3        
    # relocations                3        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  0        
# misassembled contigs           2        
Misassembled contigs length      196859   
# local misassemblies            5        
# mismatches                     41313    
# indels                         36       
    # short indels               36       
    # long indels                0        
Indels length                    39       
