Assembly	final.contigs
# contigs (>= 1000 bp)	1762
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	3039207
Total length (>= 5000 bp)	16001
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3675
Largest contig	5370
Total length	4406738
Reference length	4641652
GC (%)	50.76
Reference GC (%)	50.78
N50	1391
NG50	1337
N75	899
NG75	831
L50	1056
LG50	1142
L75	2043
LG75	2247
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	90.858
Duplication ratio	1.045
# N's per 100 kbp	0.00
# mismatches per 100 kbp	32.46
# indels per 100 kbp	0.00
Largest alignment	5370
NA50	1391
NGA50	1337
NA75	899
NGA75	831
LA50	1056
LGA50	1142
LA75	2043
LGA75	2247
