Assembly	final.contigs
# contigs (>= 1000 bp)	1738
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	2978122
Total length (>= 5000 bp)	16001
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3613
Largest contig	5370
Total length	4320768
Reference length	4641652
GC (%)	50.77
Reference GC (%)	50.79
N50	1383
NG50	1292
N75	902
NG75	805
L50	1041
LG50	1161
L75	2015
LG75	2297
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.073
Duplication ratio	1.045
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.16
# indels per 100 kbp	0.05
Largest alignment	5370
NA50	1383
NGA50	1292
NA75	902
NGA75	805
LA50	1041
LGA50	1161
LA75	2015
LGA75	2297
