All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           contigs
# misassemblies                    2      
    # relocations                  0      
    # translocations               0      
    # inversions                   0      
    # interspecies translocations  2      
# possibly misassembled contigs    0      
# misassembled contigs             2      
Misassembled contigs length        139104 
# local misassemblies              2      
# mismatches                       79034  
# indels                           49     
    # short indels                 49     
    # long indels                  0      
Indels length                      57     
