Assembler	Error rate	Coverage	metric	value
MEGAHIT_1.1.2	0%	128	#_contigs	99
MEGAHIT_1.1.2	0%	128	Genome fraction(%)	98.452
MEGAHIT_1.1.2	0%	128	NGA50	132728
metaSPAdes	0%	128	#_contigs	74
metaSPAdes	0%	128	Genome fraction(%)	98.310
metaSPAdes	0%	128	NGA50	133022
MEGAHIT_1.0.3	0%	128	#_contigs	110
MEGAHIT_1.0.3	0%	128	Genome fraction(%)	98.237
MEGAHIT_1.0.3	0%	128	NGA50	112430
MEGAHIT_1.1.2	0%	16	#_contigs	93
MEGAHIT_1.1.2	0%	16	Genome fraction(%)	98.425
MEGAHIT_1.1.2	0%	16	NGA50	132731
metaSPAdes	0%	16	#_contigs	83
metaSPAdes	0%	16	Genome fraction(%)	98.216
metaSPAdes	0%	16	NGA50	133024
MEGAHIT_1.0.3	0%	16	#_contigs	108
MEGAHIT_1.0.3	0%	16	Genome fraction(%)	98.248
MEGAHIT_1.0.3	0%	16	NGA50	112430
MEGAHIT_1.1.2	0%	64	#_contigs	97
MEGAHIT_1.1.2	0%	64	Genome fraction(%)	98.450
MEGAHIT_1.1.2	0%	64	NGA50	133109
metaSPAdes	0%	64	#_contigs	73
metaSPAdes	0%	64	Genome fraction(%)	98.311
metaSPAdes	0%	64	NGA50	175735
MEGAHIT_1.0.3	0%	64	#_contigs	110
MEGAHIT_1.0.3	0%	64	Genome fraction(%)	98.250
MEGAHIT_1.0.3	0%	64	NGA50	112430
MEGAHIT_1.1.2	0%	4	#_contigs	2051
MEGAHIT_1.1.2	0%	4	Genome fraction(%)	86.978
MEGAHIT_1.1.2	0%	4	NGA50	2231
metaSPAdes	0%	4	#_contigs	2086
metaSPAdes	0%	4	Genome fraction(%)	91.770
metaSPAdes	0%	4	NGA50	2506
MEGAHIT_1.0.3	0%	4	#_contigs	2054
MEGAHIT_1.0.3	0%	4	Genome fraction(%)	86.954
MEGAHIT_1.0.3	0%	4	NGA50	2235
MEGAHIT_1.1.2	0%	8	#_contigs	238
MEGAHIT_1.1.2	0%	8	Genome fraction(%)	98.094
MEGAHIT_1.1.2	0%	8	NGA50	29777
metaSPAdes	0%	8	#_contigs	223
metaSPAdes	0%	8	Genome fraction(%)	98.038
metaSPAdes	0%	8	NGA50	35105
MEGAHIT_1.0.3	0%	8	#_contigs	255
MEGAHIT_1.0.3	0%	8	Genome fraction(%)	97.989
MEGAHIT_1.0.3	0%	8	NGA50	30566
MEGAHIT_1.1.2	0%	256	#_contigs	95
MEGAHIT_1.1.2	0%	256	Genome fraction(%)	98.468
MEGAHIT_1.1.2	0%	256	NGA50	132728
metaSPAdes	0%	256	#_contigs	70
metaSPAdes	0%	256	Genome fraction(%)	98.333
