Assembly	scaffolds
# contigs (>= 0 bp)	302
# contigs (>= 1000 bp)	121
# contigs (>= 5000 bp)	92
# contigs (>= 10000 bp)	87
# contigs (>= 25000 bp)	75
# contigs (>= 50000 bp)	58
Total length (>= 0 bp)	9077926
Total length (>= 1000 bp)	9011157
Total length (>= 5000 bp)	8960493
Total length (>= 10000 bp)	8921146
Total length (>= 25000 bp)	8704633
Total length (>= 50000 bp)	8130674
# contigs	154
Largest contig	527156
Total length	9033467
Reference length	9283304
N50	132337
N75	86976
L50	19
L75	39
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	82061
# local misassemblies	1
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.190
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	641.60
# indels per 100 kbp	0.85
Largest alignment	527156
NA50	132337
NA75	86976
LA50	19
LA75	39
