Assembly	anonymous_gsa
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	4641760
Total length (>= 1000 bp)	4641760
Total length (>= 5000 bp)	4641760
Total length (>= 10000 bp)	4641760
Total length (>= 25000 bp)	4641760
Total length (>= 50000 bp)	4641760
# contigs	1
Largest contig	4641760
Total length	4641760
Reference length	4641652
GC (%)	50.79
Reference GC (%)	50.79
N50	4641760
NG50	4641760
N75	4641760
NG75	4641760
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	100.000
Duplication ratio	1.000
# N's per 100 kbp	2.63
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	4641638
NA50	4641638
NGA50	4641638
NA75	4641638
NGA75	4641638
LA50	1
LGA50	1
LA75	1
LGA75	1
