All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              36     
    # relocations            36     
    # translocations         0      
    # inversions             0      
# misassembled contigs       34     
Misassembled contigs length  54763  
# local misassemblies        2      
# mismatches                 23678  
# indels                     57     
    # short indels           56     
    # long indels            1      
Indels length                74     
