Assembly	scaffolds
# contigs (>= 1000 bp)	113
# contigs (>= 5000 bp)	76
# contigs (>= 10000 bp)	65
# contigs (>= 25000 bp)	43
# contigs (>= 50000 bp)	25
Total length (>= 1000 bp)	3944198
Total length (>= 5000 bp)	3853498
Total length (>= 10000 bp)	3773929
Total length (>= 25000 bp)	3398832
Total length (>= 50000 bp)	2780703
# contigs	149
Largest contig	276573
Total length	3967452
Reference length	4641652
GC (%)	50.94
Reference GC (%)	50.79
N50	90939
NG50	67605
N75	40060
NG75	22038
L50	13
LG50	17
L75	30
LG75	47
# misassemblies	3
# misassembled contigs	2
Misassembled contigs length	156398
# local misassemblies	3
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	84.365
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1010.56
# indels per 100 kbp	0.61
Largest alignment	276573
NA50	90939
NGA50	61149
NA75	38351
NGA75	22023
LA50	13
LGA50	18
LA75	31
LGA75	49
