Assembly	contigs
# contigs (>= 0 bp)	5874
# contigs (>= 1000 bp)	1728
# contigs (>= 5000 bp)	8
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	5013280
Total length (>= 1000 bp)	2956576
Total length (>= 5000 bp)	44583
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3578
Largest contig	5860
Total length	4291000
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	1374
NG50	1284
N75	900
NG75	801
L50	1032
LG50	1163
L75	2005
LG75	2314
# misassemblies	20
# misassembled contigs	20
Misassembled contigs length	48720
# local misassemblies	9
# unaligned contigs	2 + 13 part
Unaligned length	4591
Genome fraction (%)	87.921
Duplication ratio	1.050
# N's per 100 kbp	0.00
# mismatches per 100 kbp	470.16
# indels per 100 kbp	1.03
Largest alignment	5860
NA50	1366
NGA50	1275
NA75	895
NGA75	796
LA50	1040
LGA50	1173
LA75	2019
LGA75	2330
