Assembly	scaffolds
# contigs (>= 1000 bp)	150
# contigs (>= 5000 bp)	108
# contigs (>= 10000 bp)	82
# contigs (>= 25000 bp)	40
# contigs (>= 50000 bp)	21
Total length (>= 1000 bp)	3521952
Total length (>= 5000 bp)	3428883
Total length (>= 10000 bp)	3229812
Total length (>= 25000 bp)	2532410
Total length (>= 50000 bp)	1861491
# contigs	182
Largest contig	186891
Total length	3541698
Reference length	4641652
GC (%)	50.88
Reference GC (%)	50.79
N50	52546
NG50	33321
N75	22200
NG75	2361
L50	20
LG50	33
L75	46
LG75	124
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	66116
# local misassemblies	2
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	75.323
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1009.55
# indels per 100 kbp	0.72
Largest alignment	186891
NA50	51199
NGA50	31609
NA75	22200
NGA75	2361
LA50	20
LGA50	34
LA75	46
LGA75	125
