Assembly	scaffolds
# contigs (>= 0 bp)	123
# contigs (>= 1000 bp)	72
# contigs (>= 5000 bp)	66
# contigs (>= 10000 bp)	63
# contigs (>= 25000 bp)	57
# contigs (>= 50000 bp)	43
Total length (>= 0 bp)	9152926
Total length (>= 1000 bp)	9134576
Total length (>= 5000 bp)	9121767
Total length (>= 10000 bp)	9099134
Total length (>= 25000 bp)	9008253
Total length (>= 50000 bp)	8537401
# contigs	82
Largest contig	768359
Total length	9141550
Reference length	9283304
N50	264356
N75	131763
L50	11
L75	24
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	768359
# local misassemblies	1
# unaligned contigs	44 + 15 part
Unaligned length	4340680
Genome fraction (%)	49.867
Duplication ratio	1.038
# N's per 100 kbp	1.05
# mismatches per 100 kbp	308.36
# indels per 100 kbp	1.04
Largest alignment	607862
NA50	53885
LA50	17
