Assembly	contigs
# contigs (>= 1000 bp)	74
# contigs (>= 5000 bp)	62
# contigs (>= 10000 bp)	49
# contigs (>= 25000 bp)	32
# contigs (>= 50000 bp)	26
Total length (>= 1000 bp)	2906895
Total length (>= 5000 bp)	2866579
Total length (>= 10000 bp)	2772196
Total length (>= 25000 bp)	2501222
Total length (>= 50000 bp)	2303503
# contigs	78
Largest contig	161420
Total length	2909563
Reference length	4641652
GC (%)	50.71
Reference GC (%)	50.78
N50	87964
NG50	43987
N75	54897
L50	13
LG50	27
L75	24
# misassemblies	5
# misassembled contigs	5
Misassembled contigs length	310368
# local misassemblies	2
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	62.605
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	541.41
# indels per 100 kbp	0.21
Largest alignment	142244
NA50	87964
NGA50	33561
NA75	43878
LA50	13
LGA50	29
LA75	25
