Assembly	scaffolds
# contigs (>= 0 bp)	131
# contigs (>= 1000 bp)	96
# contigs (>= 5000 bp)	71
# contigs (>= 10000 bp)	61
# contigs (>= 25000 bp)	48
# contigs (>= 50000 bp)	28
Total length (>= 0 bp)	4557478
Total length (>= 1000 bp)	4547722
Total length (>= 5000 bp)	4483250
Total length (>= 10000 bp)	4405320
Total length (>= 25000 bp)	4186378
Total length (>= 50000 bp)	3493098
# contigs	100
Largest contig	327041
Total length	4551090
Reference length	4641652
N50	111983
N75	54869
L50	13
L75	27
# misassemblies	7
# misassembled contigs	5
Misassembled contigs length	472041
# local misassemblies	12
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.938
Duplication ratio	1.001
# N's per 100 kbp	13.54
# mismatches per 100 kbp	69.29
# indels per 100 kbp	10.62
Largest alignment	327041
NA50	97502
NA75	46259
LA50	14
LA75	30
