Assembly	scaffolds
# contigs (>= 1000 bp)	539
# contigs (>= 5000 bp)	269
# contigs (>= 10000 bp)	149
# contigs (>= 25000 bp)	36
# contigs (>= 50000 bp)	1
Total length (>= 1000 bp)	4490880
Total length (>= 5000 bp)	3899587
Total length (>= 10000 bp)	3011827
Total length (>= 25000 bp)	1258049
Total length (>= 50000 bp)	61819
# contigs	737
Largest contig	61819
Total length	4631011
Reference length	4641652
GC (%)	50.74
Reference GC (%)	50.79
N50	14997
NG50	14997
N75	7576
NG75	7511
L50	93
LG50	93
L75	202
LG75	203
# misassemblies	13
# misassembled contigs	13
Misassembled contigs length	131374
# local misassemblies	8
# unaligned contigs	0 + 14 part
Unaligned length	2451
Genome fraction (%)	94.446
Duplication ratio	1.056
# N's per 100 kbp	3277.19
# mismatches per 100 kbp	1061.12
# indels per 100 kbp	9.92
Largest alignment	59611
NA50	13558
NGA50	13558
NA75	6713
NGA75	6696
LA50	101
LGA50	101
LA75	224
LGA75	225
