Assembly	scaffolds
# contigs (>= 1000 bp)	71
# contigs (>= 5000 bp)	50
# contigs (>= 10000 bp)	47
# contigs (>= 25000 bp)	41
# contigs (>= 50000 bp)	28
Total length (>= 1000 bp)	4559535
Total length (>= 5000 bp)	4511316
Total length (>= 10000 bp)	4487368
Total length (>= 25000 bp)	4396206
Total length (>= 50000 bp)	3942251
# contigs	74
Largest contig	327060
Total length	4561751
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	173986
NG50	173986
N75	78607
NG75	71736
L50	10
LG50	10
L75	20
LG75	21
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	3
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.226
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	59.90
# indels per 100 kbp	8.49
Largest alignment	327060
NA50	173986
NGA50	173986
NA75	78607
NGA75	71736
LA50	10
LGA50	10
LA75	20
LGA75	21
